 	X	Y
1	1060	1299
2	644	1296
3	640	1276
4	776	1275
5	878	1266
6	945	1261
7	607	1258
8	788	1254
9	931	1246
10	741	1242
11	461	1238
12	893	1237
13	622	1234
14	788	1232
15	405	1231
16	707	1226
17	564	1225
18	827	1222
19	482	1218
20	597	1216
21	387	1216
22	368	1214
23	533	1213
24	849	1211
25	434	1207
26	626	1206
27	584	1205
28	402	1200
29	487	1198
30	702	1194
31	669	1196
32	565	1195
33	1058	1190
34	531	1190
35	389	1187
36	734	1184
37	624	1172
38	504	1172
39	1083	1170
40	364	1171
41	386	1170
42	707	1167
43	682	1167
44	481	1166
45	846	1163
46	796	1163
47	464	1162
48	914	1158
49	937	1152
50	356	1150
51	675	1146
52	333	1145
53	456	1144
54	573	1141
55	305	1141
56	692	1138
57	741	1137
58	282	1128
59	592	1127
60	870	1124
61	758	1123
62	396	1123
63	1166	1117
64	897	1116
65	630	1110
66	364	1108
67	943	1106
68	1028	1105
69	298	1104
70	398	1102
71	246	1100
72	1040	1097
73	269	1093
74	709	1091
75	324	1091
76	1088	1087
77	654	1077
78	312	1076
79	291	1075
80	1048	1070
81	224	1069
82	246	1068
83	331	1057
84	616	1048
85	1111	1046
86	669	1041
87	588	1040
88	313	1040
89	226	1040
90	877	1038
91	251	1029
92	393	1026
93	635	1021
94	222	1021
95	329	1016
96	197	1014
97	298	1010
98	251	1007
99	773	1004
100	175	998
101	272	990
102	498	988
103	207	987
104	232	986
105	460	978
106	158	974
107	251	970
108	197	967
109	340	966
110	178	963
111	221	956
112	272	955
113	143	947
114	380	939
115	163	938
116	183	935
117	337	933
118	203	928
119	540	926
120	226	926
121	357	921
122	987	915
123	1231	911
124	153	911
125	308	904
126	131	903
127	180	903
128	233	895
129	1049	889
130	206	888
131	298	885
132	169	885
133	144	877
134	125	873
135	105	869
136	236	868
137	1233	864
138	174	862
139	194	857
140	1072	854
141	146	848
142	1267	841
143	127	839
144	507	837
145	167	836
146	265	833
147	110	832
148	188	831
149	1041	819
150	113	814
151	171	811
152	143	808
153	315	802
154	109	794
155	130	790
156	151	790
157	204	788
158	1299	780
159	109	770
160	310	764
161	136	761
162	165	760
163	200	759
164	183	745
165	114	744
166	144	735
167	209	728
168	1106	719
169	188	717
170	133	717
171	1058	713
172	202	697
173	97	689
174	236	688
175	137	685
176	118	681
177	216	677
178	1311	676
179	462	675
180	311	670
181	196	666
182	153	658
183	258	654
184	133	650
185	106	646
186	204	640
187	301	636
188	176	630
189	153	625
190	1037	618
191	256	617
192	130	612
193	1201	609
194	1236	603
195	196	601
196	164	596
197	1278	593
198	227	591
199	273	586
200	136	584
201	1197	582
202	248	579
203	1018	579
204	1230	576
205	421	570
206	211	566
207	180	565
208	131	558
209	1254	554
210	272	548
211	239	549
212	1193	548
213	191	542
214	486	538
215	157	535
216	221	532
217	256	526
218	1219	525
219	1135	524
220	201	523
221	286	522
222	1048	520
223	143	514
224	174	512
225	1104	511
226	1018	505
227	223	499
228	298	498
229	262	497
230	1189	489
231	1085	488
232	160	488
233	329	483
234	207	482
235	1020	481
236	396	481
237	142	474
238	183	465
239	281	460
240	237	455
241	1135	454
242	319	452
243	174	444
244	263	444
245	204	443
246	1216	442
247	1009	441
248	1184	440
249	972	440
250	1119	433
251	1054	429
252	286	424
253	313	422
254	193	416
255	642	414
256	890	409
257	377	410
258	997	408
259	247	406
260	280	402
261	974	401
262	331	399
263	435	399
264	1058	390
265	858	390
266	398	388
267	262	386
268	214	385
269	315	380
270	946	380
271	294	374
272	236	373
273	1041	369
274	354	367
275	381	365
276	1002	361
277	910	359
278	275	359
279	432	354
280	228	348
281	839	341
282	400	339
283	714	339
284	859	338
285	297	337
286	327	332
287	476	330
288	548	327
289	1137	326
290	753	325
291	382	325
292	228	325
293	876	322
294	410	319
295	589	318
296	298	317
297	916	317
298	515	317
299	438	315
300	953	315
301	834	311
302	331	307
303	268	309
304	1078	307
305	473	306
306	681	303
307	629	299
308	310	299
309	286	296
310	607	294
311	1021	293
312	957	291
313	572	290
314	494	290
315	391	291
316	1116	290
317	662	288
318	353	288
319	1070	286
320	268	282
321	517	280
322	1007	280
323	1093	277
324	983	277
325	896	272
326	553	271
327	634	270
328	471	266
329	312	266
330	385	265
331	1003	262
332	586	262
333	514	260
334	778	260
335	440	256
336	1057	256
337	939	255
338	296	253
339	372	252
340	341	249
341	403	248
342	872	247
343	508	243
344	805	242
345	459	242
346	719	241
347	489	237
348	841	237
349	961	235
350	665	234
351	695	232
352	601	232
353	1003	232
354	978	231
355	367	230
356	402	228
357	329	228
358	759	227
359	423	222
360	904	219
361	629	220
362	824	218
363	548	216
364	520	214
365	348	213
366	579	212
367	1040	212
368	476	212
369	719	211
370	954	210
371	389	209
372	651	208
373	933	208
374	1003	206
375	877	204
376	776	199
377	624	199
378	738	197
379	691	197
380	593	193
381	506	193
382	433	193
383	669	190
384	562	189
385	536	186
386	411	186
387	888	181
388	711	181
389	838	181
390	943	179
391	797	178
392	768	176
393	856	174
394	648	172
395	588	169
396	746	168
397	441	167
398	817	165
399	475	165
400	924	164
401	880	160
402	553	160
403	608	156
404	787	155
405	676	154
406	941	149
407	726	148
408	827	141
409	480	140
410	853	139
411	761	137
412	530	136
413	803	133
414	688	130
415	728	119
416	646	130
417	565	126
418	916	124
419	611	123
420	814	109
421	701	108
422	764	108
423	657	108
424	608	99
425	570	1304
426	799	1304
427	743	1303
428	709	1303
429	673	1300
430	526	1292
431	608	1292
432	877	1288
433	803	1281
434	583	1281
435	709	1280
436	916	1276
437	564	1277
438	537	1274
439	751	1272
440	482	1271
441	852	1268
442	457	1264
443	724	1263
444	558	1259
445	431	1258
446	641	1253
447	817	1253
448	961	1252
449	905	1250
450	530	1248
451	676	1245
452	763	1242
453	486	1241
454	593	1239
455	508	1236
456	975	1235
457	859	1231
458	644	1231
459	1005	1229
460	436	1226
461	929	1224
462	957	1216
463	767	1213
464	729	1212
465	883	1206
466	815	1206
467	1081	1203
468	1010	1203
469	968	1203
470	645	1203
471	511	1196
472	353	1194
473	1029	1190
474	600	1190
475	418	1190
476	443	1189
477	988	1188
478	934	1185
479	877	1185
480	464	1184
481	830	1177
482	775	1174
483	1014	1171
484	889	1167
485	322	1166
486	1036	1164
487	1063	1164
488	604	1164
489	436	1163
490	965	1152
491	1126	1151
492	406	1151
493	646	1150
494	1003	1148
495	1022	1140
496	1081	1138
497	543	1135
498	846	1133
499	981	1132
500	367	1131
501	1061	1130
502	429	1128
503	958	1127
504	921	1125
505	1006	1122
506	1092	1117
507	1047	1116
508	1127	1115
509	775	1113
510	335	1109
511	1081	1102
512	1061	1102
513	538	1096
514	1118	1091
515	378	1088
516	1138	1086
517	409	1079
518	351	1079
519	1183	1074
520	1069	1068
521	1094	1064
522	725	1061
523	561	1053
524	1176	1050
525	1043	1045
526	981	1040
527	1146	1040
528	1063	1038
529	1202	1034
530	1096	1025
531	928	1024
532	843	1022
533	1227	1016
534	1141	1012
535	1054	1011
536	1204	1007
537	1079	1006
538	1110	1003
539	1174	1002
540	929	1001
541	406	1000
542	1151	998
543	1232	994
544	319	989
545	1187	986
546	1025	983
547	1142	979
548	1059	976
549	1223	972
550	1088	970
551	1246	968
552	1163	967
553	1209	955
554	1187	949
555	1233	944
556	1262	942
557	1152	941
558	1114	932
559	1207	928
560	261	924
561	1244	922
562	945	921
563	1133	917
564	1263	914
565	1046	912
566	1286	887
567	1239	885
568	1261	884
569	1124	884
570	1182	876
571	1206	874
572	277	865
573	1265	860
574	1288	852
575	1200	846
576	1237	843
577	1102	839
578	1305	829
579	1231	824
580	1288	815
581	1140	811
582	1262	810
583	942	810
584	1098	800
585	1231	798
586	1187	794
587	1154	792
588	1317	789
589	1039	783
590	1275	782
591	1249	780
592	1181	768
593	1226	765
594	1152	761
595	1277	757
596	1254	753
597	1298	747
598	1098	746
599	1221	738
600	1182	730
601	1310	729
602	1269	727
603	1162	723
604	1304	708
605	1280	702
606	159	697
607	1214	698
608	1150	696
609	1258	694
610	1087	694
611	1240	678
612	1286	677
613	1065	676
614	1171	674
615	1097	663
616	1264	662
617	1211	662
618	1236	650
619	1132	650
620	1212	638
621	1076	638
622	1278	635
623	1257	624
624	1173	622
625	1306	619
626	1132	614
627	1292	608
628	1136	582
629	1264	576
630	1295	574
631	1157	571
632	1002	560
633	1284	555
634	1222	553
635	1161	546
636	1244	530
637	1264	525
638	1286	522
639	1178	522
640	1202	511
641	1265	498
642	1167	495
643	1124	494
644	1221	480
645	1141	475
646	1246	466
647	1176	462
648	1202	456
649	226	425
650	1073	422
651	1136	413
652	1108	409
653	1224	406
654	1198	397
655	359	395
656	1083	391
657	1163	388
658	1118	383
659	1143	374
660	1176	371
661	1085	368
662	1164	341
663	1080	328
664	1116	324
665	1043	303
666	1136	288
667	1037	256
668	1077	256
669	1108	239
670	1063	226
671	969	190
672	998	178
673	974	160
674	903	146
675	870	125
676	494	1113
677	1126	356
678	243	942
679	1218	895
680	1235	427
681	249	351
682	654	1098
683	389	686
684	662	374
685	475	1096
686	472	1114
